rew_mean,+25%,-25%,init_rew_mean,init_rew + 25%,init_rew - 25%
0.1,0.1,0.1,0.0,0.0,0.0
0.113,0.115,0.09,0.0,0.0,0.0
0.110,0.117,0.07,0.0,0.0,0.0
0.111,0.117,0.08,0.0,0.0,0.0
0.114,0.118,0.09,0.0,0.005,0.0
0.116,0.119,0.09,0.0,0.008,0.0
0.112,0.120,0.08,0.0,0.012,0.0
0.113,0.121,0.07,0.0,0.013,0.0
0.120,0.131,0.09,0.011,0.025,0.0
0.118,0.130,0.09,0.012,0.029,0.0
0.114,0.127,0.1,0.021,0.033,0.0
0.116,0.130,0.101,0.022,0.038,0.0
0.131,0.145,0.104,0.022,0.037,0.0
0.141,0.149,0.12,0.023,0.042,0.0
0.133,0.145,0.12,0.024,0.042,0.0
0.138,0.147,0.105,0.020,0.043,0.0
0.137,0.150,0.109,0.021,0.045,0.0
0.141,0.152,0.121,0.022,0.041,0.0
0.152,0.165,0.09,0.025,0.042,0.0
0.151,0.163,0.1,0.025,0.045,0.0
0.155,0.168,0.105,0.026,0.052,0.0
0.150,0.170,0.114,0.027,0.061,0.0
0.153,0.175,0.07,0.028,0.060,0.0
0.155,0.178,0.120,0.032,0.061,0.0
0.16,0.179,0.121,0.032,0.063,0.005
0.155,0.183,0.122,0.031,0.064,0.005
0.16,0.182,0.131,0.030,0.063,0.010
0.161,0.182,0.125,0.031,0.068,0.010
0.151,0.184,0.122,0.032,0.070,0.012
0.162,0.191,0.101,0.035,0.071,0.009
0.162,0.190,0.121,0.036,0.072,0.008
0.165,0.192,0.101,0.037,0.073,0.007
0.168,0.193,0.09,0.049,0.072,0.009
0.169,0.192,0.131,0.045,0.078,0.010
0.171,0.194,0.121,0.042,0.082,0.011
0.172,0.195,0.122,0.041,0.090,0.012
0.177,0.190,0.130,0.041,0.094,0.015
0.175,0.190,0.121,0.047,0.095,0.019
0.177,0.193,0.133,0.048,0.098,0.018
0.185,0.197,0.130,0.046,0.099,0.020
0.188,0.199,0.130,0.047,0.098,0.021
0.193,0.210,0.131,0.048,0.100,0.022
0.198,0.215,0.134,0.052,0.103,0.020
0.202,0.220,0.135,0.051,0.102,0.020
0.203,0.218,0.141,0.052,0.102,0.021
0.203,0.225,0.145,0.061,0.102,0.021
0.203,0.230,0.146,0.072,0.104,0.031
0.205,0.231,0.148,0.079,0.105,0.033
0.204,0.232,0.150,0.077,0.108,0.040
0.21,0.235,0.151,0.077,0.101,0.045
0.212,0.241,0.155,0.079,0.102,0.043
0.213,0.242,0.160,0.081,0.104,0.045
0.211,0.255,0.145,0.082,0.105,0.045
0.214,0.245,0.160,0.081,0.108,0.048
0.212,0.248,0.155,0.089,0.109,0.049
0.214,0.250,0.158,0.091,0.111,0.045
0.215,0.252,0.160,0.092,0.105,0.050
0.220,0.254,0.155,0.093,0.108,0.051
0.221,0.258,0.155,0.092,0.110,0.053
0.230,0.261,0.158,0.092,0.103,0.053
0.231,0.263,0.160,0.102,0.113,0.052
0.233,0.262,0.177,0.101,0.114,0.056
0.231,0.267,0.180,0.101,0.109,0.058
0.239,0.270,0.199,0.104,0.111,0.059
0.248,0.271,0.192,0.105,0.106,0.053
0.250,0.272,0.193,0.107,0.112,0.052
0.265,0.285,0.195,0.105,0.111,0.061
0.270,0.290,0.199,0.107,0.115,0.072
0.271,0.295,0.22,0.105,0.113,0.070
0.275,0.293,0.204,0.102,0.115,0.071
0.277,0.294,0.213,0.104,0.118,0.070
0.280,0.293,0.215,0.103,0.119,0.071
0.281,0.289,0.250,0.103,0.108,0.072
0.283,0.287,0.255,0.105,0.109,0.073
0.284,0.289,0.257,0.108,0.115,0.075
0.284,0.290,0.262,0.109,0.113,0.072
0.285,0.292,0.272,0.107,0.115,0.073
0.287,0.291,0.282,0.106,0.118,0.078
0.289,0.293,0.280,0.105,0.119,0.078
0.291,0.295,0.285,0.106,0.115,0.079
0.290,0.296,0.285,0.109,0.114,0.080
0.290,0.296,0.280,0.100,0.112,0.075
0.291,0.297,0.285,0.102,0.105,0.082
0.290,0.298,0.285,0.103,0.109,0.080
0.291,0.296,0.287,0.104,0.112,0.082
0.292,0.297,0.280,0.105,0.109,0.083
0.290,0.298,0.282,0.107,0.113,0.082
0.292,0.299,0.283,0.108,0.118,0.084
0.293,0.299,0.285,0.109,0.120,0.081
0.291,0.298,0.288,0.109,0.121,0.082
0.290,0.297,0.286,0.109,0.121,0.085
0.290,0.298,0.280,0.109,0.119,0.085
0.291,0.297,0.285,0.109,0.119,0.089
0.292,0.305,0.284,0.109,0.117,0.089
0.294,0.303,0.283,0.108,0.114,0.090
0.296,0.307,0.282,0.109,0.117,0.091
0.294,0.303,0.286,0.107,0.118,0.090
0.293,0.302,0.290,0.108,0.114,0.092
0.293,0.304,0.289,0.109,0.113,0.090
0.292,0.302,0.290,0.110,0.117,0.093
