"rew_mean","+25%","-25%","init_rew_mean","init_rew + 25%","init_rew - 25%"
-0.512,-0.476,-0.609,-1.31,-1.219,-1.42
-0.506,-0.48,-0.626,-1.32,-1.222,-1.405
-0.514,-0.466,-0.709,-1.28,-1.204,-1.388
-0.519,-0.469,-0.714,-1.24,-1.201,-1.39
-0.533,-0.459,-0.698,-1.186,-1.103,-1.322
-0.569,-0.422,-0.822,-1.096,-1.022,-1.422
-0.646,-0.406,-0.889,-1.044,-0.988,-1.406
-0.717,-0.502,-1.024,-1.022,-0.922,-1.222
-0.802,-0.514,-1.069,-1.086,-0.981,-1.212
-0.903,-0.58,-1.122,-1.122,-0.904,-1.209
-1.024,-0.79,-1.602,-1.096,-0.913,-1.218
-1.048,-0.78,-1.634,-1.122,-0.921,-1.279
-1.096,-0.822,-1.629,-1.122,-0.906,-1.246
-1.212,-0.813,-1.699,-1.086,-0.919,-1.299
-1.313,-0.922,-1.622,-1.092,-0.907,-1.289
-1.421,-1.02,-1.645,-1.081,-0.906,-1.314
-1.506,-1.099,-1.689,-1.022,-0.914,-1.326
-1.588,-1.128,-1.645,-1.011,-0.902,-1.104
-1.599,-1.341,-1.688,-1.029,-0.912,-1.105
-1.644,-1.444,-1.697,-1.086,-0.877,-1.169
-1.599,-1.505,-1.695,-1.021,-0.855,-1.124
-1.466,-1.359,-1.622,-1.011,-0.866,-1.125
-1.422,-1.322,-1.687,-1.011,-0.846,-1.129
-1.412,-1.309,-1.634,-1.089,-0.872,-1.12
-1.402,-1.308,-1.682,-0.994,-0.841,-1.086
-1.377,-1.322,-1.622,-0.996,-0.821,-1.021
-1.321,-1.302,-1.677,-0.921,-0.801,-1.025
-1.2,-1.023,-1.681,-0.987,-0.808,-1.029
-1.19,-1.021,-1.688,-0.918,-0.89,-1.014
-1.18,-1.02,-1.631,-0.9,-0.877,-0.999
-1.144,-0.994,-1.541,-0.899,-0.869,-0.986
-1.026,-0.992,-1.531,-0.894,-0.841,-0.982
-1,-0.928,-1.582,-0.892,-0.861,-0.923
-0.967,-0.9,-1.333,-0.869,-0.82,-0.928
-0.882,-0.802,-1.382,-0.849,-0.745,-0.955
-0.725,-0.701,-1.311,-0.829,-0.602,-0.906
-0.603,-0.522,-1.39,-0.809,-0.581,-0.916
-0.502,-0.412,-1.106,-0.719,-0.476,-0.914
-0.489,-0.422,-0.987,-0.716,-0.421,-0.912
-0.488,-0.389,-0.882,-0.714,-0.439,-0.9
-0.487,-0.422,-0.798,-0.713,-0.398,-0.812
-0.482,-0.388,-0.762,-0.712,-0.419,-0.804
-0.48,-0.392,-0.777,-0.711,-0.388,-0.816
-0.469,-0.402,-0.781,-0.703,-0.401,-0.788
-0.452,-0.412,-0.679,-0.701,-0.409,-0.786
-0.445,-0.415,-0.724,-0.702,-0.412,-0.78
-0.466,-0.416,-0.787,-0.699,-0.422,-0.769
-0.469,-0.422,-0.822,-0.688,-0.423,-0.745
-0.472,-0.401,-0.903,-0.682,-0.406,-0.698
-0.499,-0.388,-0.999,-0.645,-0.461,-0.687
-0.512,-0.501,-1.024,-0.633,-0.48,-0.682
-0.414,-0.399,-1.086,-0.609,-0.428,-0.624
-0.432,-0.387,-1.027,-0.602,-0.421,-0.614
-0.428,-0.321,-1.035,-0.601,-0.42,-0.633
-0.46,-0.36,-1.042,-0.6,-0.521,-0.682
-0.455,-0.335,-1.089,-0.599,-0.532,-0.621
-0.48,-0.342,-1.022,-0.588,-0.588,-0.614
-0.421,-0.306,-1.312,-0.582,-0.504,-0.619
-0.439,-0.313,-1.314,-0.566,-0.509,-0.617
-0.42,-0.39,-1.312,-0.569,-0.508,-0.615
-0.418,-0.345,-1.412,-0.545,-0.511,-0.628
-0.416,-0.402,-1.486,-0.522,-0.512,-0.572
-0.533,-0.414,-1.512,-0.509,-0.503,-0.551
-0.521,-0.416,-1.222,-0.514,-0.501,-0.542
-0.418,-0.402,-1.28,-0.512,-0.502,-0.568
-0.488,-0.418,-1.276,-0.513,-0.502,-0.572
-0.469,-0.421,-0.966,-0.512,-0.502,-0.577
-0.421,-0.4,-0.987,-0.506,-0.501,-0.519
-0.487,-0.388,-0.698,-0.502,-0.499,-0.533
-0.433,-0.37,-0.622,-0.501,-0.496,-0.569
-0.421,-0.312,-0.687,-0.502,-0.481,-0.522
-0.34,-0.31,-0.499,-0.509,-0.481,-0.541
-0.321,-0.311,-0.487,-0.515,-0.477,-0.562
-0.309,-0.304,-0.486,-0.518,-0.469,-0.528
-0.315,-0.302,-0.422,-0.522,-0.502,-0.569
-0.318,-0.301,-0.415,-0.534,-0.511,-0.572
-0.34,-0.307,-0.402,-0.502,-0.456,-0.541
-0.329,-0.305,-0.404,-0.509,-0.403,-0.561
-0.342,-0.304,-0.401,-0.529,-0.422,-0.59
-0.386,-0.322,-0.399,-0.502,-0.401,-0.594
-0.329,-0.309,-0.386,-0.507,-0.428,-0.591
-0.334,-0.315,-0.392,-0.515,-0.499,-0.592
-0.336,-0.309,-0.381,-0.514,-0.501,-0.59
-0.347,-0.316,-0.351,-0.511,-0.503,-0.598
-0.352,-0.333,-0.362,-0.508,-0.502,-0.511
-0.358,-0.332,-0.377,-0.507,-0.501,-0.512
-0.341,-0.308,-0.349,-0.511,-0.51,-0.515
-0.331,-0.306,-0.338,-0.513,-0.511,-0.519
-0.302,-0.3,-0.306,-0.514,-0.512,-0.522
-0.308,-0.301,-0.311,-0.522,-0.521,-0.522
-0.312,-0.301,-0.314,-0.531,-0.522,-0.533
-0.312,-0.302,-0.313,-0.535,-0.53,-0.542
-0.309,-0.309,-0.312,-0.522,-0.52,-0.528
-0.316,-0.316,-0.318,-0.527,-0.521,-0.53
-0.307,-0.303,-0.315,-0.519,-0.515,-0.521
-0.312,-0.306,-0.312,-0.521,-0.514,-0.533
-0.314,-0.306,-0.314,-0.507,-0.501,-0.508
-0.318,-0.312,-0.318,-0.54,-0.533,-0.54
-0.322,-0.311,-0.323,-0.506,-0.504,-0.506
-0.311,-0.308,-0.324,-0.515,-0.514,-0.515
