rew_mean,+25%,-25%,init_rew_mean,init_rew + 25%,init_rew - 25%
0.1,0.1,0.1,0.0,0.0,0.0
0.159,0.188,0.120,0.0,0.0,0.0
0.182,0.199,0.105,0.0,0.020,0.0
0.202,0.245,0.111,0.0,0.021,0.0
0.238,0.282,0.121,0.0,0.030,0.0
0.255,0.318,0.145,0.015,0.025,0.0
0.290,0.345,0.155,0.018,0.038,0.0
0.311,0.377,0.205,0.028,0.045,0.0
0.335,0.420,0.229,0.029,0.101,0.0
0.355,0.433,0.230,0.079,0.104,0.0
0.353,0.435,0.250,0.080,0.106,0.0
0.377,0.428,0.270,0.040,0.108,0.0
0.389,0.435,0.288,0.030,0.111,0.0
0.395,0.440,0.310,0.035,0.112,0.0
0.399,0.445,0.320,0.042,0.131,0.0
0.402,0.451,0.330,0.042,0.08,0.0
0.412,0.466,0.345,0.045,0.089,0.0
0.414,0.470,0.372,0.055,0.066,0.0
0.422,0.472,0.375,0.035,0.121,0.0
0.439,0.478,0.390,0.038,0.131,0.0
0.440,0.490,0.391,0.045,0.133,0.0
0.444,0.510,0.399,0.048,0.121,0.0
0.450,0.512,0.392,0.029,0.141,0.0
0.452,0.511,0.411,0.021,0.102,0.0
0.454,0.511,0.421,0.044,0.106,0.0
0.456,0.513,0.411,0.070,0.109,0.022
0.458,0.505,0.406,0.080,0.113,0.025
0.460,0.502,0.408,0.12,0.119,0.034
0.462,0.499,0.431,0.131,0.141,0.080
0.465,0.486,0.450,0.141,0.151,0.080
0.469,0.484,0.420,0.151,0.177,0.087
0.471,0.477,0.450,0.08,0.121,0.042
0.472,0.490,0.459,0.04,0.131,0.00
0.472,0.494,0.470,0.131,0.138,0.100
0.473,0.492,0.470,0.121,0.142,0.080
0.478,0.491,0.470,0.141,0.153,0.084
0.481,0.493,0.472,0.138,0.158,0.085
0.482,0.499,0.478,0.137,0.162,0.088
0.484,0.492,0.481,0.132,0.139,0.045
0.489,0.491,0.482,0.122,0.129,0.022
0.490,0.490,0.480,0.129,0.159,0.089
0.489,0.499,0.470,0.111,0.144,0.099
0.492,0.501,0.470,0.108,0.128,0.101
0.494,0.503,0.477,0.107,0.122,0.102
0.493,0.511,0.489,0.109,0.129,0.08
0.497,0.512,0.493,0.131,0.141,0.07
0.499,0.503,0.490,0.141,0.155,0.101
0.501,0.515,0.492,0.150,0.160,0.104
0.500,0.512,0.495,0.152,0.171,0.112
0.503,0.511,0.490,0.153,0.172,0.121
0.497,0.508,0.477,0.153,0.159,0.122
0.489,0.506,0.477,0.152,0.154,0.131
0.494,0.512,0.479,0.147,0.158,0.121
0.493,0.504,0.489,0.155,0.160,0.101
0.480,0.508,0.466,0.158,0.166,0.101
0.478,0.507,0.470,0.159,0.167,0.141
0.482,0.502,0.480,0.142,0.162,0.101
0.478,0.506,0.460,0.133,0.145,0.121
0.480,0.501,0.466,0.120,0.128,0.104
0.466,0.504,0.460,0.144,0.155,0.121
0.470,0.504,0.465,0.148,0.159,0.121
0.482,0.507,0.470,0.152,0.162,0.121
0.483,0.511,0.480,0.156,0.170,0.113
0.485,0.512,0.481,0.159,0.172,0.141
0.489,0.511,0.482,0.155,0.177,0.150
0.490,0.519,0.484,0.162,0.172,0.145
0.492,0.520,0.490,0.144,0.173,0.128
0.478,0.507,0.467,0.130,0.172,0.122
0.480,0.512,0.477,0.120,0.131,0.103
0.488,0.502,0.480,0.111,0.144,0.101
0.466,0.499,0.460,0.120,0.131,0.111
0.480,0.498,0.477,0.140,0.151,0.120
0.480,0.496,0.477,0.122,0.169,0.121
0.488,0.498,0.479,0.135,0.169,0.121
0.490,0.493,0.482,0.145,0.171,0.144
0.493,0.496,0.490,0.128,0.145,0.127
0.499,0.502,0.490,0.152,0.162,0.150
0.450,0.453,0.447,0.151,0.166,0.144
0.466,0.470,0.449,0.138,0.155,0.133
0.488,0.490,0.483,0.128,0.133,0.120
0.490,0.499,0.470,0.151,0.162,0.101
0.501,0.504,0.487,0.161,0.172,0.155
0.510,0.513,0.501,0.155,0.166,0.152
0.504,0.515,0.501,0.153,0.160,0.120
0.502,0.513,0.493,0.153,0.166,0.150
0.505,0.518,0.492,0.152,0.170,0.148
0.507,0.518,0.493,0.158,0.171,0.140
0.512,0.513,0.499,0.160,0.172,0.153
0.505,0.517,0.499,0.162,0.181,0.155
0.510,0.519,0.502,0.167,0.171,0.160
0.490,0.511,0.480,0.169,0.177,0.162
0.480,0.490,0.470,0.172,0.179,0.166
0.499,0.501,0.477,0.154,0.160,0.148
0.493,0.499,0.480,0.155,0.166,0.152
0.492,0.499,0.490,0.158,0.164,0.152
0.496,0.499,0.493,0.157,0.172,0.152
0.497,0.501,0.492,0.159,0.164,0.151
0.499,0.503,0.492,0.148,0.167,0.137
0.497,0.502,0.493,0.152,0.162,0.139
0.498,0.503,0.492,0.155,0.160,0.145
