rew_mean,+25%,-25%,init_rew_mean,init_rew + 25%,init_rew - 25%
0.1,0.1,0.1,0.0,0.0,0.0
0.139,0.155,0.105,0.0,0.0,0.0
0.152,0.180,0.09,0.0,0.0,0.0
0.166,0.199,0.121,0.0,0.0,0.0
0.177,0.220,0.110,0.0,0.0,0.0
0.202,0.235,0.153,0.0,0.0,0.0
0.221,0.270,0.177,0.0,0.0,0.0
0.238,0.295,0.188,0.0,0.0,0.0
0.256,0.313,0.179,0.0,0.018,0.0
0.262,0.340,0.210,0.0,0.011,0.0
0.277,0.330,0.232,0.014,0.024,0.0
0.280,0.338,0.244,0.015,0.029,0.0
0.281,0.345,0.243,0.018,0.024,0.0
0.282,0.329,0.250,0.020,0.028,0.0
0.305,0.360,0.252,0.030,0.039,0.0
0.320,0.367,0.264,0.025,0.048,0.0
0.333,0.382,0.280,0.045,0.055,0.0
0.341,0.391,0.299,0.028,0.056,0.0
0.353,0.411,0.286,0.019,0.033,0.0
0.360,0.415,0.297,0.025,0.055,0.0
0.362,0.480,0.307,0.036,0.080,0.0
0.363,0.460,0.315,0.028,0.051,0.0
0.370,0.439,0.325,0.033,0.070,0.0
0.377,0.428,0.335,0.042,0.058,0.0
0.372,0.427,0.320,0.029,0.062,0.0
0.369,0.433,0.333,0.039,0.079,0.0
0.381,0.440,0.345,0.042,0.055,0.0
0.380,0.448,0.351,0.045,0.088,0.0
0.377,0.490,0.360,0.050,0.099,0.0
0.382,0.487,0.351,0.055,0.102,0.0
0.399,0.482,0.319,0.062,0.103,0.020
0.402,0.452,0.374,0.066,0.104,0.030
0.414,0.428,0.375,0.080,0.111,0.031
0.418,0.457,0.382,0.099,0.132,0.020
0.422,0.466,0.388,0.121,0.152,0.080
0.430,0.499,0.410,0.100,0.155,0.081
0.434,0.489,0.413,0.130,0.161,0.085
0.437,0.496,0.415,0.142,0.155,0.101
0.433,0.491,0.416,0.141,0.159,0.101
0.433,0.475,0.419,0.141,0.163,0.101
0.433,0.472,0.420,0.142,0.158,0.111
0.439,0.455,0.422,0.141,0.155,0.116
0.445,0.469,0.418,0.145,0.147,0.135
0.446,0.469,0.421,0.149,0.159,0.142
0.450,0.478,0.431,0.147,0.166,0.138
0.449,0.455,0.440,0.148,0.170,0.128
0.460,0.468,0.439,0.144,0.175,0.139
0.466,0.490,0.428,0.149,0.172,0.140
0.465,0.469,0.435,0.152,0.177,0.148
0.470,0.475,0.440,0.160,0.166,0.152
0.466,0.469,0.442,0.158,0.178,0.151
0.465,0.477,0.435,0.154,0.162,0.144
0.468,0.473,0.450,0.133,0.155,0.128
0.471,0.479,0.460,0.129,0.140,0.123
0.470,0.482,0.459,0.153,0.162,0.146
0.470,0.478,0.461,0.152,0.167,0.103
0.472,0.481,0.463,0.140,0.166,0.122
0.473,0.483,0.446,0.148,0.151,0.128
0.478,0.488,0.452,0.149,0.166,0.138
0.468,0.477,0.453,0.147,0.159,0.137
0.469,0.473,0.460,0.133,0.148,0.127
0.455,0.462,0.452,0.148,0.155,0.133
0.456,0.466,0.451,0.155,0.180,0.142
0.466,0.478,0.460,0.158,0.177,0.150
0.441,0.455,0.440,0.162,0.178,0.150
0.452,0.467,0.449,0.170,0.172,0.150
0.458,0.472,0.452,0.160,0.169,0.153
0.462,0.468,0.456,0.169,0.177,0.160
0.464,0.468,0.461,0.162,0.177,0.157
0.470,0.477,0.469,0.144,0.171,0.140
0.467,0.475,0.461,0.159,0.162,0.151
0.471,0.480,0.464,0.172,0.177,0.168
0.473,0.483,0.453,0.145,0.179,0.140
0.474,0.488,0.464,0.138,0.174,0.133
0.472,0.489,0.465,0.152,0.159,0.15
0.471,0.491,0.470,0.161,0.166,0.141
0.473,0.478,0.470,0.166,0.169,0.161
0.469,0.477,0.455,0.163,0.179,0.155
0.472,0.480,0.458,0.158,0.172,0.152
0.474,0.475,0.467,0.155,0.163,0.148
0.465,0.482,0.455,0.171,0.178,0.166
0.469,0.482,0.462,0.158,0.163,0.144
0.459,0.480,0.452,0.162,0.166,0.157
0.472,0.478,0.466,0.161,0.169,0.151
0.464,0.477,0.450,0.138,0.169,0.129
0.467,0.472,0.455,0.150,0.169,0.133
0.471,0.480,0.467,0.151,0.155,0.144
0.477,0.488,0.472,0.170,0.172,0.148
0.472,0.483,0.466,0.160,0.179,0.149
0.461,0.481,0.451,0.161,0.177,0.151
0.460,0.466,0.439,0.162,0.175,0.151
0.470,0.479,0.465,0.138,0.178,0.122
0.449,0.466,0.433,0.155,0.173,0.147
0.477,0.478,0.467,0.154,0.172,0.141
0.473,0.478,0.468,0.158,0.177,0.152
0.475,0.480,0.472,0.148,0.174,0.138
0.478,0.482,0.471,0.152,0.170,0.142
0.480,0.490,0.475,0.159,0.166,0.149
0.482,0.492,0.480,0.147,0.162,0.141
0.476,0.480,0.470,0.152,0.173,0.147
