"rew_mean","+25%","-25%","init_rew_mean","init_rew + 25%","init_rew - 25%"
-0.811,-0.79,-1.212,-1.5,-1.333,-1.8
-0.804,-0.781,-1.48,-1.512,-1.012,-1.832
-0.812,-0.733,-1.69,-1.569,-1.04,-1.89
-0.806,-0.769,-1.282,-1.62,-0.999,-1.84
-0.89,-0.688,-1.313,-1.72,-0.987,-2.02
-0.902,-0.712,-1.169,-1.731,-0.945,-2.045
-0.99,-0.718,-1.247,-1.818,-0.932,-2.1
-1.064,-0.745,-1.349,-1.89,-0.909,-2.2
-1.028,-0.812,-1.525,-1.821,-0.912,-2.122
-0.999,-0.88,-1.32,-1.834,-0.906,-2.132
-0.962,-0.724,-1.39,-1.921,-0.914,-2.102
-0.921,-0.681,-1.28,-1.833,-0.788,-2.134
-0.86,-0.681,-1.211,-2.122,-0.912,-2.204
-0.851,-0.68,-1.296,-2.106,-0.812,-2.208
-0.842,-0.688,-1.2,-2.08,-0.945,-2.26
-0.812,-0.631,-1.195,-1.482,-1.222,-2.209
-0.801,-0.621,-1.188,-1.431,-1.201,-2.234
-0.79,-0.608,-1.175,-1.329,-1.203,-2.1
-0.782,-0.614,-1.128,-1.36,-1.09,-1.828
-0.772,-0.618,-1.109,-1.488,-1.02,-1.76
-0.745,-0.607,-1.101,-1.421,-0.99,-1.711
-0.781,-0.59,-1.1,-1.408,-0.987,-1.73
-0.716,-0.514,-1.101,-1.679,-0.969,-1.828
-0.659,-0.531,-1.045,-1.622,-0.98,-2.02
-0.648,-0.545,-1.022,-1.321,-0.945,-1.821
-0.642,-0.508,-1.034,-1.888,-0.932,-1.999
-0.612,-0.49,-1.055,-2.024,-0.892,-2.09
-0.602,-0.461,-1.022,-1.763,-0.932,-2.122
-0.6,-0.432,-1.012,-1.714,-0.931,-2.202
-0.6,-0.402,-0.998,-1.718,-0.902,-2.32
-0.58,-0.369,-0.954,-1.219,-0.912,-2.35
-0.578,-0.308,-0.925,-1.313,-0.906,-2.48
-0.574,-0.313,-0.917,-1.321,-0.88,-1.861
-0.572,-0.321,-0.812,-0.987,-0.82,-1.821
-0.57,-0.335,-0.806,-1.333,-0.831,-1.902
-0.567,-0.308,-0.816,-1.321,-0.845,-1.9
-0.566,-0.317,-0.814,-1.421,-0.821,-1.875
-0.54,-0.345,-0.88,-1.456,-0.902,-1.823
-0.521,-0.325,-0.817,-1.432,-0.909,-1.839
-0.518,-0.381,-0.845,-0.886,-0.708,-1.414
-0.512,-0.316,-0.79,-0.821,-0.716,-1.412
