"rew_mean","+25%","-25%","init_rew_mean","init_rew + 25%","init_rew - 25%"
-0.82,-0.78,-0.934,-0.902,-0.87,-0.961
-0.831,-0.778,-0.921,-0.811,-0.782,-0.968
-0.844,-0.8,-0.9,-0.788,-0.75,-0.967
-0.845,-0.821,-0.898,-0.721,-0.682,-0.902
-0.86,-0.831,-0.88,-0.7,-0.68,-0.892
-0.828,-0.8,-0.86,-0.688,-0.645,-0.883
-0.812,-0.79,-0.855,-0.648,-0.633,-0.88
-0.814,-0.793,-0.832,-0.64,-0.612,-0.85
-0.802,-0.782,-0.821,-0.612,-0.6,-0.848
-0.8,-0.751,-0.82,-0.608,-0.597,-0.842
-0.788,-0.745,-0.818,-0.6,-0.59,-0.802
-0.762,-0.72,-0.814,-0.588,-0.58,-0.806
-0.755,-0.708,-0.8,-0.582,-0.571,-0.802
-0.742,-0.722,-0.788,-0.584,-0.573,-0.801
-0.741,-0.721,-0.783,-0.566,-0.559,-0.8
-0.75,-0.731,-0.781,-0.562,-0.55,-0.788
-0.732,-0.702,-0.785,-0.558,-0.548,-0.742
-0.745,-0.701,-0.78,-0.555,-0.541,-0.73
-0.745,-0.698,-0.769,-0.552,-0.544,-0.721
-0.742,-0.692,-0.762,-0.551,-0.542,-0.702
-0.74,-0.69,-0.767,-0.552,-0.543,-0.701
-0.728,-0.685,-0.757,-0.556,-0.533,-0.68
-0.712,-0.682,-0.744,-0.558,-0.538,-0.648
-0.708,-0.68,-0.731,-0.562,-0.531,-0.644
-0.7,-0.68,-0.72,-0.57,-0.532,-0.603
-0.688,-0.681,-0.718,-0.558,-0.537,-0.6
-0.681,-0.664,-0.714,-0.552,-0.542,-0.588
-0.645,-0.621,-0.712,-0.55,-0.54,-0.582
-0.621,-0.604,-0.702,-0.548,-0.541,-0.565
-0.62,-0.598,-0.699,-0.542,-0.538,-0.569
-0.612,-0.592,-0.688,-0.551,-0.54,-0.56
-0.602,-0.591,-0.645,-0.55,-0.542,-0.555
-0.601,-0.58,-0.641,-0.551,-0.544,-0.559
-0.588,-0.565,-0.638,-0.552,-0.541,-0.559
-0.582,-0.548,-0.628,-0.548,-0.54,-0.559
-0.581,-0.55,-0.618,-0.541,-0.538,-0.56
-0.58,-0.552,-0.614,-0.557,-0.531,-0.57
-0.544,-0.531,-0.612,-0.559,-0.541,-0.572
-0.541,-0.538,-0.608,-0.561,-0.54,-0.581
-0.522,-0.518,-0.607,-0.548,-0.538,-0.57
-0.521,-0.508,-0.604,-0.557,-0.547,-0.565
-0.518,-0.512,-0.602,-0.548,-0.539,-0.577
-0.514,-0.501,-0.598,-0.542,-0.532,-0.585
-0.512,-0.503,-0.592,-0.54,-0.528,-0.59
-0.511,-0.503,-0.594,-0.551,-0.521,-0.589
-0.508,-0.504,-0.588,-0.557,-0.533,-0.579
-0.506,-0.501,-0.576,-0.55,-0.531,-0.576
-0.502,-0.5,-0.554,-0.552,-0.531,-0.572
-0.501,-0.499,-0.538,-0.553,-0.544,-0.572
-0.503,-0.498,-0.532,-0.553,-0.541,-0.571
-0.505,-0.492,-0.529,-0.552,-0.54,-0.562
